127.0.0.1 - - [22/Jul/2025:18:58:30 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:58:31 +0530] "GET /Online_movie_booking_system/index.jsp HTTP/1.1" 200 4091
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:58:31 +0530] "GET /Online_movie_booking_system/rockstar.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:58:31 +0530] "GET /Online_movie_booking_system/animal.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:58:31 +0530] "GET /Online_movie_booking_system/Sanju.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:58:31 +0530] "GET /Online_movie_booking_system/barfi.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:58:31 +0530] "GET /Online_movie_booking_system/ye_jawani_hai_diwani.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:58:31 +0530] "GET /Online_movie_booking_system/Tu_Jhoothi_Main_Makkaar_poster.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:58:31 +0530] "GET /Online_movie_booking_system/Brahmastra_Part_One.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:58:31 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:58:39 +0530] "GET /Online_movie_booking_system/register.jsp HTTP/1.1" 200 2328
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:59:15 +0530] "POST /Online_movie_booking_system/RegisterServlet HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:59:19 +0530] "GET /Online_movie_booking_system/login.jsp HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:59:30 +0530] "POST /Online_movie_booking_system/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:59:30 +0530] "GET /Online_movie_booking_system/upcoming.jsp HTTP/1.1" 200 4659
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:59:30 +0530] "GET /Online_movie_booking_system/brahmastra.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:59:30 +0530] "GET /Online_movie_booking_system/rajasaheb.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:59:30 +0530] "GET /Online_movie_booking_system/mufasa.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:59:30 +0530] "GET /Online_movie_booking_system/ramayana.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:59:30 +0530] "GET /Online_movie_booking_system/superman.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:59:30 +0530] "GET /Online_movie_booking_system/war2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:59:40 +0530] "GET /Online_movie_booking_system/bookmovie.jsp?movie=Ramayana HTTP/1.1" 200 2950
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:59:49 +0530] "POST /Online_movie_booking_system/BookingServlet HTTP/1.1" 200 2339
0:0:0:0:0:0:0:1 - - [22/Jul/2025:18:59:54 +0530] "GET /Online_movie_booking_system/index.jsp HTTP/1.1" 200 4091
0:0:0:0:0:0:0:1 - - [22/Jul/2025:19:01:19 +0530] "GET /Online_movie_booking_system/login.jsp HTTP/1.1" 200 2197
